resultNumber,censusMetropolitanArea,province,forwardSortationAreaCodes,testDurationInDays,averageRadonConcentrationInBqPerM3,averageThoronConcentrationInBqPerM3
1678,Kitchener CMA,ON,N2E,153,49,<15
1679,Kitchener CMA,ON,N2G,301,42,<15
1680,Kitchener CMA,ON,N2G,99,21,<15
1681,Kitchener CMA,ON,N2G,92,63,<15
1682,Kitchener CMA,ON,N2G,84,29,<15
1683,Kitchener CMA,ON,N2G,91,38,<15
1684,Kitchener CMA,ON,N2G,90,30,<15
1685,Kitchener CMA,ON,N2H,91,81,<15
1686,Kitchener CMA,ON,N2H,91,63,<15
1687,Kitchener CMA,ON,N2H,91,64,<15
1688,Kitchener CMA,ON,N2H,95,53,<15
1689,Kitchener CMA,ON,N2H,99,53,<15
1690,Kitchener CMA,ON,N2H,91,37,<15
1691,Kitchener CMA,ON,N2H,90,39,<15
1692,Kitchener CMA,ON,N2H,95,45,<15
1693,Kitchener CMA,ON,N2J,98,108,<15
1694,Kitchener CMA,ON,N2J,98,52,<15
1695,Kitchener CMA,ON,N2J,92,109,18
1696,Kitchener CMA,ON,N2J,90,76,<15
1697,Kitchener CMA,ON,N2J,126,24,<15
1698,Kitchener CMA,ON,N2J,91,145,<15
1699,Kitchener CMA,ON,N2K,91,130,<15
1700,Kitchener CMA,ON,N2K,94,38,<15
1701,Kitchener CMA,ON,N2K,122,155,<15
1702,Kitchener CMA,ON,N2K,93,32,<15
1703,Kitchener CMA,ON,N2K,92,98,<15
1704,Kitchener CMA,ON,N2K,92,141,<15
1705,Kitchener CMA,ON,N2L,91,39,<15
1706,Kitchener CMA,ON,N2L,98,80,<15
1707,Kitchener CMA,ON,N2L,75,48,<15
1708,Kitchener CMA,ON,N2L,91,62,<15
1709,Kitchener CMA,ON,N2L,91,59,<15
1710,Kitchener CMA,ON,N2L,100,47,<15
1711,Kitchener CMA,ON,N2L,92,57,<15
1712,Kitchener CMA,ON,N2M,91,57,21
1713,Kitchener CMA,ON,N2M,169,31,<15
1714,Kitchener CMA,ON,N2M,98,98,<15
1715,Kitchener CMA,ON,N2M,98,30,<15
1716,Kitchener CMA,ON,N2M,91,43,21
1717,Kitchener CMA,ON,N2M,91,44,<15
1718,Kitchener CMA,ON,N2M,91,80,<15
1719,Kitchener CMA,ON,N2M,98,42,<15
1720,Kitchener CMA,ON,N2N,91,61,<15
1721,Kitchener CMA,ON,N2N,99,41,<15
1722,Kitchener CMA,ON,N2N,91,66,<15
1723,Kitchener CMA,ON,N2N,91,36,<15
1724,Kitchener CMA,ON,N2N,92,131,<15
1725,Kitchener CMA,ON,N2N,91,47,<15
1726,Kitchener CMA,ON,N2P,62,35,26
1727,Kitchener CMA,ON,N2P,98,146,<15
1728,Kitchener CMA,ON,N2P,91,65,17
1729,Kitchener CMA,ON,N2P,94,64,<15
1730,Kitchener CMA,ON,N2R,91,43,<15
1731,Kitchener CMA,ON,N2R,91,33,<15
1732,Kitchener CMA,ON,N2R,91,70,<15
1733,Kitchener CMA,ON,N2R,91,21,<15
1734,Kitchener CMA,ON,N2R,95,147,<15
1735,Kitchener CMA,ON,N2R,102,144,<15
1736,Kitchener CMA,ON,N2R,93,21,<15
1737,Kitchener CMA,ON,N2T,100,45,<15
1738,Kitchener CMA,ON,N2T,92,149,<15
1739,Kitchener CMA,ON,N2T,91,127,<15
1740,Kitchener CMA,ON,N2T,92,30,<15
1741,Kitchener CMA,ON,N2T,99,53,<15
1742,Kitchener CMA,ON,N2T,101,211,<15
1743,Kitchener CMA,ON,N2T,92,61,<15
1744,Kitchener CMA,ON,N2T,99,48,<15
1745,Kitchener CMA,ON,N2V,91,56,<15
1746,Kitchener CMA,ON,N2V,95,72,<15
1747,Kitchener CMA,ON,N2V,91,51,<15
1748,Kitchener CMA,ON,N2V,93,21,<15
1749,Kitchener CMA,ON,N2V,99,37,<15
1750,Kitchener CMA,ON,N2V,89,32,<15
1751,London CMA,ON,*,93,132,<15
1752,London CMA,ON,N5V,124,49,18
1753,London CMA,ON,N5V,92,108,<15
1754,London CMA,ON,N5W,91,57,<15
1755,London CMA,ON,N5W,91,40,<15
1756,London CMA,ON,N5W,94,60,<15
1757,London CMA,ON,N5X,91,53,<15
1758,London CMA,ON,N5X,94,101,<15
1759,London CMA,ON,N5X,96,46,<15
1760,London CMA,ON,N5X,107,100,<15
1761,London CMA,ON,N5X,91,57,<15
1762,London CMA,ON,N5X,92,47,<15
1763,London CMA,ON,N5X,99,340,<15
1764,London CMA,ON,N5X,93,65,<15
1765,London CMA,ON,N5Y,93,99,<15
1766,London CMA,ON,N5Y,90,20,<15
1767,London CMA,ON,N5Y,92,84,<15
1768,London CMA,ON,N5Y,91,64,<15
1769,London CMA,ON,N5Y,94,187,<15
1770,London CMA,ON,N5Y,93,262,<15
1771,London CMA,ON,N5Y,91,85,<15
1772,London CMA,ON,N5Z,93,51,<15
1773,London CMA,ON,N5Z,91,31,<15
1774,London CMA,ON,N5Z,92,46,<15
1775,London CMA,ON,N5Z,102,23,<15
1776,London CMA,ON,N5Z,91,98,<15
1777,London CMA,ON,N5Z,102,15,<15
1778,London CMA,ON,N6A,91,53,<15
1779,London CMA,ON,N6A,93,88,<15
1780,London CMA,ON,N6A,91,74,<15
1781,London CMA,ON,N6A,90,65,<15
1782,London CMA,ON,N6A,63,51,17
1783,London CMA,ON,N6A,92,104,<15
1784,London CMA,ON,N6B,114,59,<15
1785,London CMA,ON,N6B,92,57,19
1786,London CMA,ON,N6B,94,50,<15
1787,London CMA,ON,N6B,90,42,<15
1788,London CMA,ON,N6B,100,40,<15
1789,London CMA,ON,N6B,92,59,43
1790,London CMA,ON,N6B,91,72,<15
1791,London CMA,ON,N6C,98,97,<15
1792,London CMA,ON,N6C,95,70,<15
1793,London CMA,ON,N6C,114,112,<15
1794,London CMA,ON,N6C,91,101,<15
1795,London CMA,ON,N6C,91,62,<15
1796,London CMA,ON,N6E,139,68,<15
1797,London CMA,ON,N6E,102,56,<15
1798,London CMA,ON,N6E,91,81,<15
1799,London CMA,ON,N6E,90,43,<15
1800,London CMA,ON,N6E,103,65,<15
1801,London CMA,ON,N6E,70,136,<15
1802,London CMA,ON,N6G,91,62,20
1803,London CMA,ON,N6G,91,88,<15
1804,London CMA,ON,N6G,90,221,<15
1805,London CMA,ON,N6G,96,221,<15
1806,London CMA,ON,N6G,92,72,23
1807,London CMA,ON,N6H,92,43,<15
1808,London CMA,ON,N6H,91,59,<15
1809,London CMA,ON,N6H,91,24,<15
1810,London CMA,ON,N6H,91,115,<15
1811,London CMA,ON,N6H,108,78,N/A
1812,London CMA,ON,N6H,92,73,<15
1813,London CMA,ON,N6H,92,283,<15
1814,London CMA,ON,N6J,93,97,<15
1815,London CMA,ON,N6J,91,201,<15
1816,London CMA,ON,N6J,91,68,<15
1817,London CMA,ON,N6J,92,68,24
1818,London CMA,ON,N6J,101,48,<15
1819,London CMA,ON,N6J,90,154,22
1820,London CMA,ON,N6K,105,56,<15
1821,London CMA,ON,N6K,91,60,20
1822,London CMA,ON,N6K,91,50,<15
1823,London CMA,ON,N6K,93,40,<15
1824,London CMA,ON,N6K,95,47,<15
1825,London CMA,ON,N6K,96,180,<15
1826,London CMA,ON,N6K,91,41,17
1827,London CMA,ON,N6P,91,43,22
1828,London CMA,ON,N6P,91,96,<15
1829,London CMA,ON,N6P,98,125,17
1830,London CMA,ON,N6P,91,72,<15
1831,Oshawa CMA,ON,L1G,101,<15,<15
1832,Oshawa CMA,ON,L1G,113,60,<15
1833,Oshawa CMA,ON,L1G,91,73,<15
1834,Oshawa CMA,ON,L1G,97,33,N/A
1835,Oshawa CMA,ON,L1G,104,81,<15
1836,Oshawa CMA,ON,L1G,107,56,<15
1837,Oshawa CMA,ON,L1G,94,119,<15
1838,Oshawa CMA,ON,L1G,91,92,<15
1839,Oshawa CMA,ON,L1G,91,26,20
1840,Oshawa CMA,ON,L1G,97,126,<15
1841,Oshawa CMA,ON,L1G,92,68,19
1842,Oshawa CMA,ON,L1G,91,131,20
1843,Oshawa CMA,ON,L1G,119,35,<15
1844,Oshawa CMA,ON,L1G,93,45,<15
1845,Oshawa CMA,ON,L1G,91,115,<15
1846,Oshawa CMA,ON,L1H,98,137,<15
1847,Oshawa CMA,ON,L1H,91,166,<15
1848,Oshawa CMA,ON,L1H,94,122,<15
1849,Oshawa CMA,ON,L1H,100,36,16
1850,Oshawa CMA,ON,L1H,92,321,16
1851,Oshawa CMA,ON,L1H,91,94,<15
1852,Oshawa CMA,ON,L1H,101,43,<15
1853,Oshawa CMA,ON,L1H,132,50,<15
1854,Oshawa CMA,ON,L1H,92,141,26
1855,Oshawa CMA,ON,L1H,91,34,<15
1856,Oshawa CMA,ON,L1H,91,21,<15
1857,Oshawa CMA,ON,L1H,93,50,<15
1858,Oshawa CMA,ON,L1J,93,<15,96
1859,Oshawa CMA,ON,L1J,103,173,<15
1860,Oshawa CMA,ON,L1J,91,67,28
1861,Oshawa CMA,ON,L1J,91,43,<15
1862,Oshawa CMA,ON,L1J,97,75,<15
1863,Oshawa CMA,ON,L1J,91,49,<15
1864,Oshawa CMA,ON,L1J,91,46,<15
1865,Oshawa CMA,ON,L1J,91,122,18
1866,Oshawa CMA,ON,L1J,98,78,16
1867,Oshawa CMA,ON,L1J,91,58,17
1868,Oshawa CMA,ON,L1J,103,56,<15
1869,Oshawa CMA,ON,L1J,92,21,<15
1870,Oshawa CMA,ON,L1J,92,45,<15
1871,Oshawa CMA,ON,L1J,92,52,<15
1872,Oshawa CMA,ON,L1J,92,41,20
1873,Oshawa CMA,ON,L1K,92,45,<15
1874,Oshawa CMA,ON,L1K,91,33,<15
1875,Oshawa CMA,ON,L1K,90,40,<15
1876,Oshawa CMA,ON,L1K,90,24,25
1877,Oshawa CMA,ON,L1K,91,16,<15
1878,Oshawa CMA,ON,L1K,92,<15,50
1879,Oshawa CMA,ON,L1K,91,21,<15
1880,Oshawa CMA,ON,L1K,91,31,16
1881,Oshawa CMA,ON,L1K,91,40,<15
1882,Oshawa CMA,ON,L1K,92,58,<15
1883,Oshawa CMA,ON,L1K,91,31,<15
1884,Oshawa CMA,ON,L1K,91,54,<15
1885,Oshawa CMA,ON,L1L,97,43,<15
1886,Oshawa CMA,ON,L1L,91,51,<15
1887,Oshawa CMA,ON,L1L,92,45,<15
1888,Oshawa CMA,ON,L1L,92,42,<15
1889,Oshawa CMA,ON,L1N,93,26,<15
1890,Oshawa CMA,ON,L1N,92,184,<15
1891,Oshawa CMA,ON,L1N,107,175,<15
1892,Oshawa CMA,ON,L1N,91,29,15
1893,Oshawa CMA,ON,L1N,93,43,<15
1894,Oshawa CMA,ON,L1N,91,43,<15
1895,Oshawa CMA,ON,L1N,93,17,26
1896,Oshawa CMA,ON,L1N,127,16,<15
1897,Oshawa CMA,ON,L1N,93,67,<15
1898,Oshawa CMA,ON,L1N,92,61,<15
1899,Oshawa CMA,ON,L1N,91,59,<15
1900,Oshawa CMA,ON,L1N,91,36,<15
1901,Oshawa CMA,ON,L1N,94,28,<15
1902,Oshawa CMA,ON,L1P,98,30,<15
1903,Oshawa CMA,ON,L1P,92,127,<15
1904,Oshawa CMA,ON,L1P,91,20,96
1905,Oshawa CMA,ON,L1P,135,64,<15
1906,Oshawa CMA,ON,L1P,90,68,81
1907,Oshawa CMA,ON,L1P,91,51,<15
1908,Oshawa CMA,ON,L1P,91,28,20
1909,Oshawa CMA,ON,L1P,93,41,16
1910,Oshawa CMA,ON,L1R,101,<15,<15
1911,Oshawa CMA,ON,L1R,92,34,<15
1912,Oshawa CMA,ON,L1R,92,46,<15
1913,Oshawa CMA,ON,L1R,133,43,16
1914,Oshawa CMA,ON,L1R,98,42,<15
1915,Oshawa CMA,ON,L1R,91,61,<15
1916,Oshawa CMA,ON,L1R,102,18,<15
1917,Oshawa CMA,ON,L1R,92,64,<15
1918,Oshawa CMA,ON,L1R,98,75,<15
1919,Oshawa CMA,ON,L1R,91,27,<15
1920,Oshawa CMA,ON,L1R,93,149,29
1921,Oshawa CMA,ON,L1R,100,35,<15
1922,Oshawa CMA,ON,L1R,92,46,21
1923,Oshawa CMA,ON,L1R,92,32,<15
1924,Oshawa CMA,ON,L1R,91,24,<15
1925,Oshawa CMA,ON,L1R,91,53,<15
1926,Oshawa CMA,ON,L1R,99,94,<15
1927,Ottawa - Gatineau CMA,ON,*,101,87,<15
1928,Ottawa - Gatineau CMA,ON,*,91,50,<15
1929,Ottawa - Gatineau CMA,ON,*,92,76,<15
1930,Ottawa - Gatineau CMA,ON,*,91,54,<15
1931,Ottawa - Gatineau CMA,ON,K1B,89,155,<15
1932,Ottawa - Gatineau CMA,ON,K1B,93,17,<15
1933,Ottawa - Gatineau CMA,ON,K1C,91,69,20
1934,Ottawa - Gatineau CMA,ON,K1C,90,<15,<15
1935,Ottawa - Gatineau CMA,ON,K1G,92,16,<15
1936,Ottawa - Gatineau CMA,ON,K1G,101,79,<15
1937,Ottawa - Gatineau CMA,ON,K1G,103,51,<15
1938,Ottawa - Gatineau CMA,ON,K1H,91,41,<15
1939,Ottawa - Gatineau CMA,ON,K1H,116,37,16
1940,Ottawa - Gatineau CMA,ON,K1H,91,153,35
1941,Ottawa - Gatineau CMA,ON,K1J,96,92,<15
1942,Ottawa - Gatineau CMA,ON,K1J,92,65,<15
1943,Ottawa - Gatineau CMA,ON,K1K,93,27,<15
1944,Ottawa - Gatineau CMA,ON,K1K,91,78,<15
1945,Ottawa - Gatineau CMA,ON,K1K,90,143,27
1946,Ottawa - Gatineau CMA,ON,K1L,95,<15,<15
1947,Ottawa - Gatineau CMA,ON,K1L,119,33,<15
1948,Ottawa - Gatineau CMA,ON,K1M,91,73,<15
1949,Ottawa - Gatineau CMA,ON,K1M,90,42,<15
1950,Ottawa - Gatineau CMA,ON,K1N,119,51,<15
1951,Ottawa - Gatineau CMA,ON,K1N,92,91,<15
1952,Ottawa - Gatineau CMA,ON,K1S,92,39,26
1953,Ottawa - Gatineau CMA,ON,K1S,100,81,<15
1954,Ottawa - Gatineau CMA,ON,K1S,95,50,<15
1955,Ottawa - Gatineau CMA,ON,K1T,93,45,150
1956,Ottawa - Gatineau CMA,ON,K1T,95,37,<15
1957,Ottawa - Gatineau CMA,ON,K1V,91,141,<15
1958,Ottawa - Gatineau CMA,ON,K1V,109,342,<15
1959,Ottawa - Gatineau CMA,ON,K1V,122,133,<15
1960,Ottawa - Gatineau CMA,ON,K1Y,92,199,<15
1961,Ottawa - Gatineau CMA,ON,K1Y,91,45,29
1962,Ottawa - Gatineau CMA,ON,K1Y,103,83,113
1963,Ottawa - Gatineau CMA,ON,K1Z,92,109,<15
1964,Ottawa - Gatineau CMA,ON,K1Z,110,157,<15
1965,Ottawa - Gatineau CMA,ON,K1Z,93,78,<15
1966,Ottawa - Gatineau CMA,ON,K2A,91,108,<15
1967,Ottawa - Gatineau CMA,ON,K2A,92,86,<15
1968,Ottawa - Gatineau CMA,ON,K2A,107,33,32
1969,Ottawa - Gatineau CMA,ON,K2B,101,60,<15
1970,Ottawa - Gatineau CMA,ON,K2B,91,61,<15
1971,Ottawa - Gatineau CMA,ON,K2B,90,103,15
1972,Ottawa - Gatineau CMA,ON,K2E,93,167,<15
1973,Ottawa - Gatineau CMA,ON,K2E,105,69,<15
1974,Ottawa - Gatineau CMA,ON,K2G,93,477,<15
1975,Ottawa - Gatineau CMA,ON,K2G,90,334,<15
1976,Ottawa - Gatineau CMA,ON,K2G,94,71,15
1977,Ottawa - Gatineau CMA,ON,K2H,96,64,<15
1978,Ottawa - Gatineau CMA,ON,K2H,105,170,<15
1979,Ottawa - Gatineau CMA,ON,K2H,91,67,<15
1980,Ottawa - Gatineau CMA,ON,K2J,109,33,<15
1981,Ottawa - Gatineau CMA,ON,K2J,93,89,19
1982,Ottawa - Gatineau CMA,ON,K2J,91,159,<15
1983,Ottawa - Gatineau CMA,ON,K2K,98,74,<15
1984,Ottawa - Gatineau CMA,ON,K2K,120,251,86
1985,Ottawa - Gatineau CMA,ON,K2K,91,131,<15
1986,Ottawa - Gatineau CMA,ON,K2K,92,47,20
1987,Ottawa - Gatineau CMA,ON,K2L,90,114,<15
1988,Ottawa - Gatineau CMA,ON,K2L,91,285,<15
1989,Ottawa - Gatineau CMA,ON,K2L,94,188,<15
1990,Ottawa - Gatineau CMA,ON,K2M,92,132,<15
1991,Ottawa - Gatineau CMA,ON,K2M,62,174,22
1992,Ottawa - Gatineau CMA,ON,K2M,97,224,<15
1993,Ottawa - Gatineau CMA,ON,K2P,91,38,<15
1994,Ottawa - Gatineau CMA,ON,K2P,95,87,<15
1995,Ottawa - Gatineau CMA,ON,K2S,110,113,<15
1996,Ottawa - Gatineau CMA,ON,K2S,91,138,<15
1997,Ottawa - Gatineau CMA,ON,K2T,113,124,<15
1998,Ottawa - Gatineau CMA,ON,K2T,108,78,<15
1999,Ottawa - Gatineau CMA,ON,K2T,145,84,<15
2000,Ottawa - Gatineau CMA,ON,K2W,99,84,74
2001,Ottawa - Gatineau CMA,ON,K2W,91,165,<15
2002,Ottawa - Gatineau CMA,ON,K4A,91,76,<15
2003,Ottawa - Gatineau CMA,ON,K4A,129,130,<15
2004,Ottawa - Gatineau CMA,ON,K4A,93,102,<15
2005,Ottawa - Gatineau CMA,ON,K4K,92,303,<15
2006,Ottawa - Gatineau CMA,ON,K4K,92,62,<15
2007,Ottawa - Gatineau CMA,ON,K4K,95,22,18
2008,Ottawa - Gatineau CMA,ON,K4K,92,<15,<15
2009,Ottawa - Gatineau CMA,ON,K4R,91,62,<15
2010,Ottawa - Gatineau CMA,ON,K4R,115,31,<15
2011,Peterborough CMA,ON,K9H,148,139,<15
2012,Peterborough CMA,ON,K9H,91,139,<15
2013,Peterborough CMA,ON,K9H,93,51,<15
2014,Peterborough CMA,ON,K9H,103,132,<15
2015,Peterborough CMA,ON,K9H,98,31,<15
2016,Peterborough CMA,ON,K9H,103,118,<15
2017,Peterborough CMA,ON,K9H,91,111,<15
2018,Peterborough CMA,ON,K9H,232,73,<15
2019,Peterborough CMA,ON,K9H,91,62,<15
2020,Peterborough CMA,ON,K9H,92,72,<15
2021,Peterborough CMA,ON,K9H,91,197,<15
2022,Peterborough CMA,ON,K9H,92,70,<15
2023,Peterborough CMA,ON,K9H,100,105,<15
2024,Peterborough CMA,ON,K9H,98,90,17
2025,Peterborough CMA,ON,K9H,97,41,<15
2026,Peterborough CMA,ON,K9H,94,135,<15
2027,Peterborough CMA,ON,K9H,94,81,<15
2028,Peterborough CMA,ON,K9H,90,88,<15
2029,Peterborough CMA,ON,K9H,135,130,<15
2030,Peterborough CMA,ON,K9H,101,29,<15
2031,Peterborough CMA,ON,K9H,90,60,<15
2032,Peterborough CMA,ON,K9H,89,76,<15
2033,Peterborough CMA,ON,K9H,91,153,<15
2034,Peterborough CMA,ON,K9H,91,77,18
2035,Peterborough CMA,ON,K9H,92,71,<15
2036,Peterborough CMA,ON,K9H,91,67,<15
2037,Peterborough CMA,ON,K9H,157,44,<15
2038,Peterborough CMA,ON,K9H,91,67,<15
2039,Peterborough CMA,ON,K9H,92,175,<15
2040,Peterborough CMA,ON,K9J,95,59,<15
2041,Peterborough CMA,ON,K9J,91,115,<15
2042,Peterborough CMA,ON,K9J,91,25,21
2043,Peterborough CMA,ON,K9J,91,72,<15
2044,Peterborough CMA,ON,K9J,90,72,<15
2045,Peterborough CMA,ON,K9J,91,40,<15
2046,Peterborough CMA,ON,K9J,91,65,18
2047,Peterborough CMA,ON,K9J,94,62,<15
2048,Peterborough CMA,ON,K9J,99,191,<15
2049,Peterborough CMA,ON,K9J,93,96,<15
2050,Peterborough CMA,ON,K9J,91,60,<15
2051,Peterborough CMA,ON,K9J,91,54,<15
2052,Peterborough CMA,ON,K9J,98,54,<15
2053,Peterborough CMA,ON,K9J,91,147,<15
2054,Peterborough CMA,ON,K9J,93,123,<15
2055,Peterborough CMA,ON,K9J,91,44,28
2056,Peterborough CMA,ON,K9J,117,72,<15
2057,Peterborough CMA,ON,K9J,90,82,<15
2058,Peterborough CMA,ON,K9J,94,208,<15
2059,Peterborough CMA,ON,K9J,91,182,<15
2060,Peterborough CMA,ON,K9J,120,35,<15
2061,Peterborough CMA,ON,K9J,90,70,<15
2062,Peterborough CMA,ON,K9J,90,132,<15
2063,Peterborough CMA,ON,K9J,91,114,<15
2064,Peterborough CMA,ON,K9J,91,91,17
2065,Peterborough CMA,ON,K9J,91,22,<15
2066,Peterborough CMA,ON,K9J,91,136,<15
2067,Peterborough CMA,ON,K9J,91,113,<15
2068,Peterborough CMA,ON,K9K,91,85,<15
2069,Peterborough CMA,ON,K9K,92,55,<15
2070,Peterborough CMA,ON,K9K,91,205,<15
2071,Peterborough CMA,ON,K9K,92,61,23
2072,Peterborough CMA,ON,K9K,91,296,<15
2073,Peterborough CMA,ON,K9K,91,126,<15
2074,Peterborough CMA,ON,K9K,93,64,<15
2075,Peterborough CMA,ON,K9K,120,270,<15
2076,Peterborough CMA,ON,K9K,103,29,<15
2077,Peterborough CMA,ON,K9K,91,335,<15
2078,Peterborough CMA,ON,K9K,90,133,<15
2079,Peterborough CMA,ON,K9K,92,127,<15
2080,Peterborough CMA,ON,K9K,91,52,<15
2081,Peterborough CMA,ON,K9K,92,104,<15
2082,Peterborough CMA,ON,K9K,91,102,<15
2083,Peterborough CMA,ON,K9K,96,118,<15
2084,Peterborough CMA,ON,K9K,99,164,19
2085,Peterborough CMA,ON,K9K,94,169,<15
2086,Peterborough CMA,ON,K9K,94,194,<15
2087,Peterborough CMA,ON,K9K,92,53,17
2088,Peterborough CMA,ON,K9K,92,26,<15
2089,Peterborough CMA,ON,K9K,91,62,<15
2090,Peterborough CMA,ON,K9K,92,94,<15
2091,Peterborough CMA,ON,K9K,109,68,<15
2092,Peterborough CMA,ON,K9K,102,64,<15
2093,Peterborough CMA,ON,K9K,93,28,26
2094,Peterborough CMA,ON,K9K,101,165,15
2095,Peterborough CMA,ON,K9K,91,235,<15
2096,Peterborough CMA,ON,K9L,103,26,<15
2097,Peterborough CMA,ON,K9L,94,61,<15
2098,Peterborough CMA,ON,K9L,91,135,27
2099,Peterborough CMA,ON,K9L,94,53,<15
2100,Peterborough CMA,ON,K9L,98,115,<15
2101,Peterborough CMA,ON,K9L,91,157,<15
2102,Peterborough CMA,ON,K9L,99,87,<15
2103,Peterborough CMA,ON,K9L,99,35,<15
2104,Peterborough CMA,ON,K9L,94,65,<15
2105,Peterborough CMA,ON,K9L,94,135,42
2106,Peterborough CMA,ON,K9L,92,56,17
2107,Peterborough CMA,ON,K9L,100,101,<15
2108,Peterborough CMA,ON,K9L,102,82,<15
2109,Peterborough CMA,ON,K9L,98,152,<15
2110,Peterborough CMA,ON,K9L,91,142,16
2111,St. Catharines - Niagara,ON,L2M,90,22,<15
2112,St. Catharines - Niagara,ON,L2M,91,21,<15
2113,St. Catharines - Niagara,ON,L2M,90,32,17
2114,St. Catharines - Niagara,ON,L2M,93,48,29
2115,St. Catharines - Niagara,ON,L2M,94,32,<15
2116,St. Catharines - Niagara,ON,L2M,92,37,<15
2117,St. Catharines - Niagara,ON,L2M,91,67,<15
2118,St. Catharines - Niagara,ON,L2M,91,25,<15
2119,St. Catharines - Niagara,ON,L2M,91,142,<15
2120,St. Catharines - Niagara,ON,L2M,95,21,25
2121,St. Catharines - Niagara,ON,L2M,91,49,<15
2122,St. Catharines - Niagara,ON,L2M,92,54,28
2123,St. Catharines - Niagara,ON,L2M,120,72,<15
2124,St. Catharines - Niagara,ON,L2M,101,111,25
2125,St. Catharines - Niagara,ON,L2M,92,39,<15
2126,St. Catharines - Niagara,ON,L2M,102,56,24
2127,St. Catharines - Niagara,ON,L2M,90,59,<15
2128,St. Catharines - Niagara,ON,L2N,91,35,<15
2129,St. Catharines - Niagara,ON,L2N,91,38,<15
2130,St. Catharines - Niagara,ON,L2N,91,40,<15
2131,St. Catharines - Niagara,ON,L2N,91,44,<15
2132,St. Catharines - Niagara,ON,L2N,92,38,<15
2133,St. Catharines - Niagara,ON,L2N,91,172,<15
2134,St. Catharines - Niagara,ON,L2N,91,59,<15
2135,St. Catharines - Niagara,ON,L2N,108,23,<15
2136,St. Catharines - Niagara,ON,L2N,100,32,23
2137,St. Catharines - Niagara,ON,L2N,93,16,<15
2138,St. Catharines - Niagara,ON,L2N,91,84,18
2139,St. Catharines - Niagara,ON,L2N,92,101,<15
2140,St. Catharines - Niagara,ON,L2N,91,25,<15
2141,St. Catharines - Niagara,ON,L2P,91,108,<15
2142,St. Catharines - Niagara,ON,L2P,91,34,<15
2143,St. Catharines - Niagara,ON,L2P,100,50,<15
2144,St. Catharines - Niagara,ON,L2P,94,31,<15
2145,St. Catharines - Niagara,ON,L2P,93,30,<15
2146,St. Catharines - Niagara,ON,L2P,92,<15,17
2147,St. Catharines - Niagara,ON,L2P,90,<15,63
2148,St. Catharines - Niagara,ON,L2P,91,23,<15
2149,St. Catharines - Niagara,ON,L2P,128,28,<15
2150,St. Catharines - Niagara,ON,L2P,94,28,<15
2151,St. Catharines - Niagara,ON,L2P,116,29,<15
2152,St. Catharines - Niagara,ON,L2R,91,71,<15
2153,St. Catharines - Niagara,ON,L2R,112,101,N/A
2154,St. Catharines - Niagara,ON,L2R,91,77,<15
2155,St. Catharines - Niagara,ON,L2R,97,106,<15
2156,St. Catharines - Niagara,ON,L2R,91,29,<15
2157,St. Catharines - Niagara,ON,L2R,93,38,<15
2158,St. Catharines - Niagara,ON,L2R,95,21,19
2159,St. Catharines - Niagara,ON,L2R,144,32,<15
2160,St. Catharines - Niagara,ON,L2R,91,25,20
2161,St. Catharines - Niagara,ON,L2R,111,34,<15
2162,St. Catharines - Niagara,ON,L2R,92,52,15
2163,St. Catharines - Niagara,ON,L2R,90,61,20
2164,St. Catharines - Niagara,ON,L2S,101,142,<15
2165,St. Catharines - Niagara,ON,L2S,85,36,<15
2166,St. Catharines - Niagara,ON,L2S,91,84,N/A
2167,St. Catharines - Niagara,ON,L2S,91,47,<15
2168,St. Catharines - Niagara,ON,L2S,93,67,20
2169,St. Catharines - Niagara,ON,L2S,91,66,<15
2170,St. Catharines - Niagara,ON,L2S,91,71,<15
2171,St. Catharines - Niagara,ON,L2S,91,81,<15
2172,St. Catharines - Niagara,ON,L2S,116,135,60
2173,St. Catharines - Niagara,ON,L2S,97,79,<15
2174,St. Catharines - Niagara,ON,L2S,103,37,<15
2175,St. Catharines - Niagara,ON,L2T,128,27,<15
2176,St. Catharines - Niagara,ON,L2T,90,52,<15
2177,St. Catharines - Niagara,ON,L2T,97,37,<15
2178,St. Catharines - Niagara,ON,L2T,90,36,<15
2179,St. Catharines - Niagara,ON,L2T,92,47,22
2180,St. Catharines - Niagara,ON,L2T,96,46,18
2181,St. Catharines - Niagara,ON,L2T,91,<15,16
2182,St. Catharines - Niagara,ON,L2T,91,34,<15
2183,St. Catharines - Niagara,ON,L2T,91,136,29
2184,St. Catharines - Niagara,ON,L2T,102,114,33
2185,St. Catharines - Niagara,ON,L2T,91,68,<15
2186,St. Catharines - Niagara,ON,L2V,91,15,<15
2187,St. Catharines - Niagara,ON,L2V,98,23,<15
2188,St. Catharines - Niagara,ON,L2V,91,42,<15
2189,St. Catharines - Niagara,ON,L2V,91,102,<15
2190,St. Catharines - Niagara,ON,L2V,90,32,<15
2191,St. Catharines - Niagara,ON,L2V,90,91,<15
2192,St. Catharines - Niagara,ON,L2V,91,30,<15
2193,St. Catharines - Niagara,ON,L2V,98,49,<15
2194,St. Catharines - Niagara,ON,L2W,97,58,<15
2195,St. Catharines - Niagara,ON,L2W,91,90,29
2196,St. Catharines - Niagara,ON,L2W,91,149,<15
2197,St. Catharines - Niagara,ON,L2W,94,84,<15
2198,Thunder Bay CMA,ON,P7A,91,<15,<15
