Food Name,Sample Code,Product Description,Food Group,Country of Origin,Sample Type,Sub Sample,Sample Collection Date,Reason Collected,Human Illness Flag,Sampling Location Type,Sampling Location City Name,Sampling Location Province,Sampling Location Country,Lab Name,Analysis Completion Date,Result Operator,Result Value,Units of measurement,Analyte Name,Analyte Group,LOD,LOQ,MDL,% Recovery,Basis for Result,Quality Assurance,Result Comments,Test Method Name,Test Method Code,Instrumentation,Method Comments,Project Code,Project Name,Project Description,Organization
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2012-LL08-BPA,,Babyfood,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,1,3.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2016-LL08-BPA,"LL08 Meat, poultry or eggs (Babyfood)/Viande, volaille ou œufs (aliments pour bébés)",Babyfood,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,1.790787999,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
Baking Powder,TDS2009-PP03-BPA,,Baking,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,=,0.77,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
Baking Powder,TDS2010-PP03-BPA,,Baking,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
Baking Powder,TDS2011-PP03-BPA,,Baking,Unknown,Composite,Yes,2011-01-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Food Packaging Chemicals,2011-01-01,=,0.48,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2011.BPA,Total Diet Study 2011 Bisphenol A,,Health Canada
Baking Powder,TDS2012-PP03-BPA,,Baking,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
Baking Powder,TDS2016-PP03-BPA,PP03 Baking powder/Levure chimique,Baking,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,1.735061623,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
"Beans, Baked, canned",TDS2009-GG01-BPA,,Canned Legumes,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,=,24,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
"Beans, Baked, canned",TDS2010-GG01-BPA,,Canned Legumes,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,=,18,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
"Beans, Baked, canned",TDS2012-GG01-BPA,,Canned Legumes,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,=,25,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
"Beans, Baked, canned",TDS2016-GG01-BPA,"GG01 Baked beans, canned/Fèves au lard en conserve",Canned Legumes,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,=,36.14097702,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,9.094324744,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
"Beans, String",TDS2009-GG02-BPA,"Beans, string, fresh + canned (1:1)",Beans,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,=,15,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
