RESPONSEID,RESPID,WEIGHT,STATUS,INTERVIEW_START,INTERVIEW_END,HCMA,HISTORONTO,HISMONTREAL,HISVANCOUVER,L,QINTRO_1,SQA,SQB,SQC,HREGION,SQD,SQE,QN1A,ON1B,QN1B_R1,QN1B_R2,QN1B_R3,QN1B_R4,QN1B_R5,QN1C_1,QN1C_2,QN1C_3,QN1C_4,QN1C_5,QN1C_6,QN1C_7,QN1C_8,QN1C_9,QN1C_10,QN1C_11,QN1C_12,QN1C_13,QN1C_98,QN1C_98_R1,QN1C_98_OTHER,QN2,QN3,QN4,QN5,QN6A,QN7,HSEENAD,QN8,QN8_R1,QN9A,QN9B,QN9B_R1,QN10_1,QN10_2,QN10_3,QN11,QN11_R1,ON11_98_OTHER,QN12,QN12_R1,QN12_98_OTHER,QN13_1,QN13_2,QN13_3,QN13_4,QN13_5,QN13_6,QN13_7,QN13_8,QN13_9,QN13_10,QN13_11,QN14,QN15A,QN15B,QN16_1,QN16_2,QN16_3,QN16_4,QN17,QN17_R1,QN17_R2,QN17_R3,QN17_R4,QN17_R5,QN18_R1,QN18_R2,QN18_R3,QN18_R4,QN18_R5,QN18_R6,QN18_R7,QN18,QN19_1,QN19_2,QN19_3,QN19_4,QN20A,QN20B_R1,QN20B_R2,QN20B_R3,QN20B_R4,QN20B_R5,QN20B,QN21_1,QN21_2,QN21_3,QN21_4,QN21_5,QN21_6,QN21_7,QN21_8,QN21_9,QN21_10,QN22_1,QN22_2,QN22_3,QN22_4,QN22_5,QN22_6,QN22_7,QN22_8,QN22_9,QN22_10,QN23_1,QN23_2,QN24_1,QN24_2,QN24_3,QN24_4,QN24_5,QN24_6,QN24_7,QN24_8,QN25_1,QN25_2,QN26_1,QN26_2,QN26_3,QN26_4,QN26_5,QN26_6,QN26_7,QN26_8,QN27A,QN27B_R1,QN27B_R2,QN27B_R3,QN27B_R4,QN27B_R5,QN27B,QN27C,QN28_1,QN28_2,QN28_3,QN29,QN30,QN31,QN32,QN33,QN34,QN35,DUSseg1,CONTseg2,ACTseg3,DrugUseSegs,PrimaryFirst
511,648,1.237780000000,Complete,21-Mar-2011 20:30:37,21-Mar-2011 20:39:04,#NULL!,No,No,No,English,Win32,13,Female,Newfoundland and Labrador,Atlantic,You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Yes,No,No,No,No,No,Yes,not to do drugs!!,Say no to drugs/stay away from drugs,No,,#NULL!,No,No,No,No,#NULL!,,"Some level of government, but not clear which one",#NULL!,,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Yes,2,No,4,4,4,4,marijuana superman weed ectasy,Marijuana/cannabis,Ecstasy,#NULL!,#NULL!,#NULL!,DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,dont know,Somewhat likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Not veryserious,Somewhatserious,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatserious,Somewhatserious,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Not verylikely,Somewhat agree,"Yes, in school full-time",A (80% to 100%),Some high school (grades 8 - 11),$11 to $20,No,No,100,106,99,Contemplative,Primary Case
513,651,1.013973000000,Complete,21-Mar-2011 20:32:10,21-Mar-2011 20:46:18,#NULL!,No,No,No,English,Win32,15,Male,British Columbia,British Columbia (include Yukon),You live with one parent,Yes,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Yes,No,No,Yes,No,No,Yes,drugs makes you sick,Drugs are bad for you/your health,No,,#NULL!,No,No,No,No,#NULL!,,"Some level of government, but not clear which one",#NULL!,,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Yes,3,Yes,5,6,6,3,weed cocaine crack,Marijuana/cannabis,Crack/cocaine,#NULL!,#NULL!,#NULL!,Cocaine/crack,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,crack cocaine,Somewhat likely,Not very likely,Not very likely,Not very likely,Yes,Told them no/I don't do drugs,#NULL!,#NULL!,#NULL!,#NULL!,said that i wasn't into doing drugs,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Very dangerous to your health,Very dangerous to your health,Somewhat dangerous to your health,Very dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Very dangerous to your health,Very dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Veryserious,Verylikely,Somewhatlikely,Not at alllikely,Not verylikely,Not at alllikely,Somewhatlikely,Not verylikely,Somewhatlikely,Not veryserious,Not veryserious,Verylikely,Verylikely,Not verylikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Not verylikely,Strongly agree,"Yes, in school full-time",C (60% to 69%),"Completed community college, vocational or trade school (or complete CEGEP)",Zero,Yes,No,67,81,81,Active,Primary Case
514,652,1.237780000000,Complete,21-Mar-2011 20:32:34,21-Mar-2011 20:45:44,#NULL!,No,No,No,English,Win32,13,Male,Newfoundland and Labrador,Atlantic,You live with a parent and a step- parent,No,Yes,just something I heard and saw in school,School,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,School/class,school,No,No,No,No,No,No,Yes,don't do drugs they make you look older and sick,Drugs are bad for you/your health,No,,#NULL!,No,No,No,No,#NULL!,,"Some level of government, but not clear which one",#NULL!,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Yes,2,No,6,6,6,5,"maraguania, at school",Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,marragunia,Somewhat likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Veryserious,Veryserious,Verylikely,Verylikely,Somewhatlikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Veryserious,Veryserious,Verylikely,Verylikely,Somewhatlikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Somewhatlikely,Strongly agree,"Yes, in school full-time",B (70% to 79%),"Completed community college, vocational or trade school (or complete CEGEP)",$1 to $10,No,No,147,142,121,Inactive,Primary Case
515,655,0.974461000000,Complete,21-Mar-2011 20:34:13,21-Mar-2011 20:39:27,#NULL!,No,No,No,English,Win32,14,Male,Ontario,Ontario (include Nunavut),You live with two parents,Yes,Yes,do not ruin your life,Not doing drugs/they are bad/unhealthy,#NULL!,#NULL!,#NULL!,#NULL!,1,1,0,1,0,1,0,0,0,0,0,0,0,0,#NULL!,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,that there are better things to do than drugs and it ruins your life,Drugs are not cool/don't need drugs to be cool,No,,#NULL!,No,Yes,Yes,No,#NULL!,,Provincial government,#NULL!,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,5,Yes,6,6,6,6,"weed, crack and others",Marijuana/cannabis,Crack/cocaine,#NULL!,#NULL!,#NULL!,Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,weed,Very likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at allserious,Not at allserious,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Yes,Google,#NULL!,#NULL!,#NULL!,#NULL!,google,Yes,Not at alllikely,Not at alllikely,Not at alllikely,Strongly agree,"Yes, in school full-time",A (80% to 100%),Elementary school or less (no schooling to grade 7),$61 to $80,No,No,20,45,66,Active,Primary Case
524,668,1.146567000000,Complete,21-Mar-2011 20:41:21,21-Mar-2011 20:52:48,#NULL!,No,No,No,English,Win32,14,Male,Nova Scotia,Atlantic,You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Yes,Yes,No,No,No,No,Yes,dont do drugs:),Say no to drugs/stay away from drugs,No,,#NULL!,No,No,No,No,#NULL!,,Government of Canada/federal government,#NULL!,,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,No,#NULL!,#NULL!,7A great deal,7A great deal,7A great deal,6,"pot,crack,...",Marijuana/cannabis,Crack/cocaine,#NULL!,#NULL!,#NULL!,Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,pot...,Not at all likely,Not at all likely,Not at all likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Veryserious,Veryserious,Somewhatlikely,Verylikely,Not at alllikely,Somewhatlikely,Verylikely,Verylikely,Verylikely,Verylikely,Somewhatserious,Veryserious,Verylikely,Verylikely,Not at alllikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not verylikely,Not verylikely,Not at alllikely,Somewhat agree,"Yes, in school full-time",A (80% to 100%),Some university (no degree),Zero,No,No,124,126,111,Contemplative,Primary Case
527,671,0.974461000000,Complete,21-Mar-2011 20:43:44,21-Mar-2011 20:54:31,#NULL!,No,No,No,English,Win32,13,Female,Ontario,Ontario (include Nunavut),You live with two parents,No,Yes,a girl getting distroyed by drugs the song is catchy,Effects of doing drugs,Girl looking in mirror/changing appearance/rhyme,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,,Yes,No,Yes,Yes,Yes,No,Yes,that drugs will ruin your life you get addicted easily,Drugs can ruin your life/family/future,No,,#NULL!,Yes,No,No,No,#NULL!,,"Some level of government, but not clear which one",#NULL!,,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Yes,8,Yes,5,4,3,5,marijuana  cocaine,Marijuana/cannabis,Crack/cocaine,#NULL!,#NULL!,#NULL!,Marijuana/cannabis,Cocaine/crack,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,marijuana  cocaine,Very likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very dangerous to your health,Not very dangerous to your health,Somewhat dangerous to your health,Very dangerous to your health,Very dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Not very dangerous to your health,Veryserious,Veryserious,Somewhatlikely,Verylikely,Not verylikely,Verylikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Verylikely,Somewhatserious,Somewhatserious,Somewhatlikely,Verylikely,Not verylikely,Verylikely,Somewhatlikely,Verylikely,Verylikely,Somewhatlikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Not verylikely,Strongly agree,"Yes, in school full-time",B (70% to 79%),Not sure / Don’t know,$11 to $20,No,Yes,140,143,133,Contemplative,Primary Case
531,676,0.974461000000,Complete,21-Mar-2011 20:50:13,21-Mar-2011 21:06:02,#NULL!,No,No,No,English,Win32,15,Male,Ontario,Ontario (include Nunavut),You live with two parents,Yes,Yes,Teenagers were caught by police when they took drugs in the car.,Other,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,,No,No,Yes,No,No,Yes,Yes,Drug will harm your body,Drugs are bad for you/your health,No,,#NULL!,Yes,Yes,No,No,#NULL!,,"Some level of government, but not clear which one",#NULL!,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,No,#NULL!,#NULL!,6,6,6,6,I've no idea,DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,None,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,None,Very likely,Not at all likely,Not at all likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Veryserious,Veryserious,Not verylikely,Not at alllikely,Not at alllikely,Not at alllikely,Not verylikely,Not at alllikely,Not at alllikely,Not at alllikely,Somewhatserious,Veryserious,Not verylikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Verylikely,Strongly agree,"Yes, in school full-time",B (70% to 79%),Some high school (grades 8 - 11),$81 to $100,No,No,42,64,81,Active,Primary Case
534,679,0.860243000000,Complete,21-Mar-2011 20:51:52,21-Mar-2011 21:06:43,#NULL!,No,No,No,English,Win32,14,Male,New Brunswick,Atlantic,You live with a parent and a step- parent,Yes,Yes,drugs,Other,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,#NULL!,,Yes,No,No,Yes,Yes,Yes,Yes,don't do drugs,Say no to drugs/stay away from drugs,No,,#NULL!,No,No,No,,Other,my profile page,"Some level of government, but not clear which one",#NULL!,,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Yes,1,No,6,3,5,5,no,None,#NULL!,#NULL!,#NULL!,#NULL!,Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,weed,Somewhat likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very dangerous to your health,Very dangerous to your health,Somewhat dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Somewhat dangerous to your health,Not veryserious,Not veryserious,Verylikely,Verylikely,Somewhatlikely,Verylikely,Verylikely,Somewhatlikely,Not at alllikely,Somewhatlikely,Veryserious,Veryserious,Somewhatlikely,Verylikely,Somewhatlikely,Verylikely,Verylikely,Verylikely,Somewhatlikely,Somewhatlikely,Yes,DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,can't remember,No,Not at alllikely,Not at alllikely,Somewhatlikely,Strongly agree,"Yes, in school full-time",B (70% to 79%),Some university (no degree),Zero,No,No,118,123,114,Contemplative,Primary Case
535,680,1.013973000000,Complete,21-Mar-2011 20:52:27,21-Mar-2011 20:56:57,#NULL!,No,No,No,English,Win32,14,Female,British Columbia,British Columbia (include Yukon),You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,No,#NULL!,#NULL!,2,4,4,4,marijuana,Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,Cocaine/crack,Heroin,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,"cocaine, heroin",Very likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Not at alllikely,Strongly agree,"Yes, in school full-time",A (80% to 100%),Completed university (Bachelor,Zero,No,No,156,151,129,Inactive,Primary Case
540,686,1.013973000000,Complete,21-Mar-2011 20:58:23,21-Mar-2011 21:03:23,#NULL!,No,No,No,English,Win32,14,Female,British Columbia,British Columbia (include Yukon),You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,No,#NULL!,#NULL!,4,4,4,4,marijuana,Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,Cocaine/crack,Heroin,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,"cocaine, heroin",Very likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Not at alllikely,Strongly agree,"Yes, in school full-time",A (80% to 100%),Completed university (Bachelor,Zero,No,No,159,154,132,Inactive,Primary Case
541,687,1.018072000000,Complete,21-Mar-2011 20:58:35,21-Mar-2011 21:10:29,#NULL!,No,No,No,English,Win32,13,Female,Quebec,Quebec,You live with two parents,Yes,Yes,drug are no good to be taken,Not doing drugs/they are bad/unhealthy,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,,No,No,No,Yes,No,Yes,Yes,drugs are not good for the health,Drugs are bad for you/your health,No,,#NULL!,No,Yes,No,No,#NULL!,,Government of Canada/federal government,#NULL!,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Yes,10,Yes,6,6,6,6,none,None,#NULL!,#NULL!,#NULL!,#NULL!,None,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,no,Very likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Not at alllikely,Strongly agree,"Yes, in school full-time",A (80% to 100%),Completed high school (grades 11 in Quebec or 12 or 13 or OAC),$21 to $40,No,No,157,152,130,Inactive,Primary Case
543,689,1.013973000000,Complete,21-Mar-2011 20:59:01,21-Mar-2011 21:07:50,#NULL!,No,No,No,English,Win32,14,Female,British Columbia,British Columbia (include Yukon),You live with one parent,Yes,Yes,it was on tv....a song about saying no to drugs.,Not doing drugs/they are bad/unhealthy,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,,Yes,No,No,No,No,No,Yes,do not use drugs,Say no to drugs/stay away from drugs,No,,#NULL!,Yes,No,No,No,#NULL!,,"Some level of government, but not clear which one",#NULL!,,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Yes,15,Yes,2,3,3,2,pot,Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,Marijuana/cannabis,Cocaine/crack,Amphetamine/speed,#NULL!,#NULL!,#NULL!,#NULL!,pot  cocane  meth,Very likely,Not at all likely,Not at all likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Somewhatlikely,Strongly agree,"Yes, in school full-time",B (70% to 79%),"Completed community college, vocational or trade school (or complete CEGEP)",$11 to $20,No,No,151,146,124,Inactive,Primary Case
544,690,0.974461000000,Complete,21-Mar-2011 21:00:54,21-Mar-2011 21:10:12,#NULL!,No,No,No,English,Win32,15,Male,Ontario,Ontario (include Nunavut),You live with two parents,No,Yes,"They were total bullshit, you can't convince someone that terrable things will happen to them from smoking weed, its so foolish.  Who is responsible for this campaing?",Other,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,0,1,0,0,0,0,0,0,0,0,0,#NULL!,,Yes,No,Yes,No,No,No,Yes,"No clue, they are no even close to beleivable",DK/NA,No,,#NULL!,No,No,No,No,#NULL!,,"Some level of government, but not clear which one",#NULL!,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Yes,23,Yes,7A great deal,7A great deal,7A great deal,7A great deal,"Fuck you guys, rats!!",DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,None,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,"None, its supposed to be a free country I should have the ""God Given RIght"", to put anything into my body I see fit.  Mind your own fucking business.",Not at all likely,Very likely,Very likely,Very likely,Yes,Tried/used it,#NULL!,#NULL!,#NULL!,#NULL!,"Bought them, great price!",5 times or more,5 times or more,Not at all,Not at all,5 times or more,Not at all,Not at all,Not at all,Not at all,5 times or more,Not at all dangerous to your health,Not very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Not at all dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Very dangerous to your health,Very dangerous to your health,Not at all dangerous to your health,Not at allserious,Not at allserious,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not veryserious,Not veryserious,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Not at alllikely,Yes,DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,None of your business,No,Verylikely,Verylikely,Not at alllikely,Strongly disagree,"Yes, in school full-time",A (80% to 100%),"Post graduate university (Master’s, Ph.D., completed or not)",More than $100,No,No,-3,23,48,Active,Primary Case
