Food Name,Sample Code,Product Description,Food Group,Country of Origin,Intended Use,Sample Type,Sub Sample,Sample Collection Date,Reason Collected,Human Illness Flag,Sampling Location Type,Sampling Location City Name,Sampling Location Province,Sampling Location Country,Lab Name,Analysis Completion Date,Result Operator,Result Value,Units of measurement,Analyte Name,Analyte Group,LOD,LOQ,MDL,% Recovery,Basis for Result,Quality Assurance,Result Comments,Test Method Name,Test Method Code,Instrumentation,Method Comments,Project Code,Project Name,Project Description,Organization
Apple Juice,TDS2013-HH01-DEHA & Phthalates,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-n-pentyl phthalate,Phthalates,,,0.81,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
Apple Juice,TDS2013-HH01-DEHA & Phthalates,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-n-propyl phthalate,Phthalates,,,0.25,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
Apple Juice,TDS2013-HH01-DEHA & Phthalates,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-n-undecyl phthalate,Phthalates,,,7.98,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
Apple Juice,TDS2013-HH01-DEHA & Phthalates,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Dibenzyl phthalate,Phthalates,,,19.01,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
Apple Juice,TDS2013-HH01-DEHA & Phthalates,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Dicyclohexyl phthalate,Phthalates,,,1.09,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
Apple Juice,TDS2013-HH01-DEHA & Phthalates,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Diethyl phthalate,Phthalates,,,9.84,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
Apple Juice,TDS2013-HH01-DEHA & Phthalates,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Diisobutyl phthalate,Phthalates,,,6.22,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
Apple Juice,TDS2013-HH01-DEHA & Phthalates,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Dimethyl phthalate,Phthalates,,,2.64,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
Apple Juice,TDS2013-HH01-DEHA & Phthalates,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,di-(2-ethylhexyl) adipate (DEHA),Phthalates,,,2.26,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
Apple Juice,TDS2013-HH01-DEHA & Phthalates,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,=,34.9,ng/g,di-(2-ethylhexyl) phthalate (DEHP),Phthalates,,,14.02,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
Apple Juice,TDS2013-HH01-DEHA & Phthalates,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,=,7.88,ng/g,n-Butyl benzyl phthalate,Phthalates,,,3.59,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Bis(2-ethoxyethyl) phthalate,Phthalates,,,11.21,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Bis(2-methoxyethyl) phthalate,Phthalates,,,69.88,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Bis(2-n-butoxyethyl) phthalate,Phthalates,,,10.5,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-(4-methyl-2-pentyl) phthalate,Phthalates,,,5.69,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-allyl phthalate,Phthalates,,,4.71,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-n-butyl phthalate,Phthalates,,,5.65,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-n-decyl phthalate,Phthalates,,,7.61,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-n-hexyl phthalate,Phthalates,,,1.28,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-n-nonyl phthalate,Phthalates,,,4.28,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-n-octyl phthalate,Phthalates,,,2.15,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-n-pentyl phthalate,Phthalates,,,0.81,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-n-propyl phthalate,Phthalates,,,0.25,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Di-n-undecyl phthalate,Phthalates,,,7.98,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Dibenzyl phthalate,Phthalates,,,19.01,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Dicyclohexyl phthalate,Phthalates,,,1.09,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Diethyl phthalate,Phthalates,,,9.84,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Diisobutyl phthalate,Phthalates,,,6.22,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,<LOD/MDL,0,ng/g,Dimethyl phthalate,Phthalates,,,2.64,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
"Apple Sauce, canned",TDS2013-HH02-DEHA & Phthalates,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2015-03-11,=,22,ng/g,di-(2-ethylhexyl) adipate (DEHA),Phthalates,,,2.26,,As consumed,Lab used only QA and reference standards during sampling and analysis,,GC-MS analysis of phthalates in foods,,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2013.DEHA.Phthalates,Total Diet Study 2013 DEHA & Phthalates,,Health Canada
